id,title,description,url,mime,published,size,duration,author
1,David Copperfield – Chapter 22,"Some Old Scenes, and Some New People",https://ipfs.io/ipfs/QmUepAi2cu25whbrpCDUmweVP7VSCBg8GiJCKkT7V6c4EK?filename=Chapter-22.aac,audio/aac,06/17/2018,52069514,00:52:58,Evan Brass
2,David Copperfield – Chapter 23,"I Corroborate Mr. Dick, and Choose a Profession",https://ipfs.io/ipfs/QmTAHw9Zy9QBJR6ARhHQm8xEr6rgQqLYHu2GM7qfR8WTgf?filename=Chapter-23.aac,audio/aac,06/20/2018,187998764,00:35:31,Evan Brass
3,David Copperfield – Chapter 24,My First Dissipation,https://ipfs.io/ipfs/QmTHZsB597aq7FSh6zB1L7C1bv9K2APrfaRf9MoHTh7c5a?filename=Chapter-24.m4a,audio/mp4a-latm ,06/22/2018,31512963,00:18:23,Victoria Saager
4,David Copperfield – Chapter 25,Good and Bad Angels,https://ipfs.io/ipfs/QmPxtVk1wtKe8aiy2jVAqpQcZwmfUvEEk8mFqGrJeD58zy?filename=Chapter-25.wav,audio/x-wav,06/29/2018,272937772,00:51:34,Evan Brass
5,David Copperfield – Chapter 26,I Fall into Captivity,https://ipfs.io/ipfs/QmNRbLBo993db2bGAiqDEoM5qFR6fY42DCyf4XDXEYQgGY?filename=Chapter-26.aac,audio/aac,07/01/2018,226252588,00:42:45,Evan Brass
6,David Copperfield – Chapter 27,Tommy Traddles,https://ipfs.io/ipfs/QmZxvRJMkPn9ZeLDek7EAx6VvZJNPc2iLpEBDWBLYbhknm?filename=Chapter-27.aac,audio/aac,07/03/2018,149701932,00:28:17,Evan Brass
7,David Copperfield – Chapter 28,Mr. Micawber’s Gauntlet,https://ipfs.io/ipfs/QmVePJf8vdNEHLkhR6uBmPDA2HJWuqcpYCFdbaXtofpfDT?filename=Chapter-28.m4a,audio/mp4a-latm ,07/09/2018,20983096,00:42:06,Victoria Saager
8,David Copperfield – Chapter 29,"I Visit Steerforth at His Home, Again",https://ipfs.io/ipfs/QmZcLK4bXMUTdFEkhXTuwsj2Lah1xVTcXcPS2iX2nnz6oL?filename=Chapter-29.aac,audio/aac,07/11/2018,120096300,00:22:41,Evan Brass
9,David Copperfield – Chapter 30,A Loss,https://ipfs.io/ipfs/QmYCFgT4FAXakQPHVDvjZevRxDcDSKtujz9J4Lmz4ozF55?filename=Chapter-30.wav,audio/x-wav,07/14/2018,277159724,00:52:22,Evan Brass
11,David Copperfield – Chapter 32,The Beginning of a Long Journey,https://ipfs.io/ipfs/QmdoQGT3sYGnxyiN1oaUDup9JwaT1jQKkXeHnwVTyEuZgL?filename=Chapter-32.aac,audio/aac,07/17/2018,248337196,00:46:55,Evan Brass
12,David Copperfield – Chapter 33,Blissful,https://ipfs.io/ipfs/QmXudUFtWbdY1DWv4jVoqwNCwJQoTJXX2zzmrMfT2YrfGt?filename=Chapter-33.m4a,audio/mp4a-latm ,07/21/2018,18545518,00:37:16,Victoria Saager
13,David Copperfield – Chapter 34,My Aunt Astonishes Me,https://ipfs.io/ipfs/Qmbkvr7JhihBk7PCBnL2zGHiQgCrgrG8Bh3Dgy3wmuHMzT?filename=Chapter-34.aac,audio/aac,07/25/2018,127753516,00:24:08,Evan Brass
14,David Copperfield – Chapter 35,Depression,https://ipfs.io/ipfs/QmRov2tmBryPNUY8Hgqk1H1jrtrWgavine4RzeSkXA7bbf?filename=Chapter-35.aac,audio/aac,07/29/2018,281003564,00:53:05,Evan Brass
15,David Copperfield – Chapter 36,Enthusiasm,https://ipfs.io/ipfs/QmbQULGgoJHsSw35FHuTV7f9nUyygcqBXumJQJCQFZS2gm?filename=Chapter-36.wav,audio/x-wav,07/31/2018,233789740,00:40:10,Evan Brass
16,David Copperfield – Chapter 37,A Little Cold Water,https://ipfs.io/ipfs/QmSDkX9keVVPunFkp4buPdQ9QYidMNqtmcQxTvRhqWqS4i?filename=Chapter-37.aac,audio/aac,08/09/2018,129369900,00:24:26,Evan Brass
18,David Copperfield – Chapter 39,Wickfield and Heep,https://ipfs.io/ipfs/QmXfLk1xxWrGjpiKjD6cT7tzTBDY5BjeP1LtuopHUwGzzc?filename=Chapter-39.wav,audio/x-wav,08/28/2018,271194156,00:51:14,Evan Brass
19,David Copperfield – Chapter 40,The Wanderer,https://ipfs.io/ipfs/QmVTYz5SdWDS1KStwQ3HefqCUugzCVUBMNAomS5ruTueRR?filename=Chapter-40.wav,audio/x-wav,09/04/2018,125183788,00:23:39,Evan Brass
